Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,1,0,0,1,0,5849,0,0,360,1,Urban,1
LP001003,1,1,1,1,0,4583,1508,128,360,1,Rural,0
LP001005,1,1,0,1,1,3000,0,66,360,1,Urban,1
LP001006,1,1,0,0,0,2583,2358,120,360,1,Urban,1
LP001008,1,0,0,1,0,6000,0,141,360,1,Urban,1
LP001011,1,1,2,1,1,5417,4196,267,360,1,Urban,1
LP001013,1,1,0,0,0,2333,1516,95,360,1,Urban,1
LP001014,1,1,3,1,0,3036,2504,158,360,0,Semiurban,0
LP001018,1,1,2,1,0,4006,1526,168,360,1,Urban,1
LP001020,1,1,1,1,0,12841,10968,349,360,1,Semiurban,0
LP001024,1,1,2,1,0,3200,700,70,360,1,Urban,1
LP001027,1,1,2,1,N/A,2500,1840,109,360,1,Urban,1
LP001028,1,1,2,1,0,3073,8106,200,360,1,Urban,1
LP001029,1,0,0,1,0,1853,2840,114,360,1,Rural,0
LP001030,1,1,2,1,0,1299,1086,17,120,1,Urban,1
LP001032,1,0,0,1,0,4950,0,125,360,1,Urban,1
LP001034,1,0,1,0,0,3596,0,100,240,N/A,Urban,1
LP001036,0,0,0,1,0,3510,0,76,360,0,Urban,0
LP001038,1,1,0,0,0,4887,0,133,360,1,Rural,0
LP001041,1,1,0,1,N/A,2600,3500,115,N/A,1,Urban,1
LP001043,1,1,0,0,0,7660,0,104,360,0,Urban,0
LP001046,1,1,1,1,0,5955,5625,315,360,1,Urban,1
LP001047,1,1,0,0,0,2600,1911,116,360,0,Semiurban,0
LP001050,N/A,1,2,0,0,3365,1917,112,360,0,Rural,0
LP001052,1,1,1,1,N/A,3717,2925,151,360,N/A,Semiurban,0
LP001066,1,1,0,1,1,9560,0,191,360,1,Semiurban,1
LP001068,1,1,0,1,0,2799,2253,122,360,1,Semiurban,1
LP001073,1,1,2,0,0,4226,1040,110,360,1,Urban,1
LP001086,1,0,0,0,0,1442,0,35,360,1,Urban,0
LP001087,0,0,2,1,N/A,3750,2083,120,360,1,Semiurban,1
LP001091,1,1,1,1,N/A,4166,3369,201,360,N/A,Urban,0
LP001095,1,0,0,1,0,3167,0,74,360,1,Urban,0
LP001097,1,0,1,1,1,4692,0,106,360,1,Rural,0
LP001098,1,1,0,1,0,3500,1667,114,360,1,Semiurban,1
LP001100,1,0,3,1,0,12500,3000,320,360,1,Rural,0
LP001106,1,1,0,1,0,2275,2067,N/A,360,1,Urban,1
LP001109,1,1,0,1,0,1828,1330,100,N/A,0,Urban,0
LP001112,0,1,0,1,0,3667,1459,144,360,1,Semiurban,1
LP001114,1,0,0,1,0,4166,7210,184,360,1,Urban,1
LP001116,1,0,0,0,0,3748,1668,110,360,1,Semiurban,1
LP001119,1,0,0,1,0,3600,0,80,360,1,Urban,0
LP001120,1,0,0,1,0,1800,1213,47,360,1,Urban,1
LP001123,1,1,0,1,0,2400,0,75,360,N/A,Urban,1
LP001131,1,1,0,1,0,3941,2336,134,360,1,Semiurban,1
LP001136,1,1,0,0,1,4695,0,96,N/A,1,Urban,1
LP001137,0,0,0,1,0,3410,0,88,N/A,1,Urban,1
LP001138,1,1,1,1,0,5649,0,44,360,1,Urban,1
LP001144,1,1,0,1,0,5821,0,144,360,1,Urban,1
LP001146,0,1,0,1,0,2645,3440,120,360,0,Urban,0
LP001151,0,0,0,1,0,4000,2275,144,360,1,Semiurban,1
LP001155,0,1,0,0,0,1928,1644,100,360,1,Semiurban,1
LP001157,0,0,0,1,0,3086,0,120,360,1,Semiurban,1
LP001164,0,0,0,1,0,4230,0,112,360,1,Semiurban,0
LP001179,1,1,2,1,0,4616,0,134,360,1,Urban,0
LP001186,0,1,1,1,1,11500,0,286,360,0,Urban,0
LP001194,1,1,2,1,0,2708,1167,97,360,1,Semiurban,1
LP001195,1,1,0,1,0,2132,1591,96,360,1,Semiurban,1
LP001197,1,1,0,1,0,3366,2200,135,360,1,Rural,0
LP001198,1,1,1,1,0,8080,2250,180,360,1,Urban,1
LP001199,1,1,2,0,0,3357,2859,144,360,1,Urban,1
LP001205,1,1,0,1,0,2500,3796,120,360,1,Urban,1
LP001206,1,1,3,1,0,3029,0,99,360,1,Urban,1
LP001207,1,1,0,0,1,2609,3449,165,180,0,Rural,0
LP001213,1,1,1,1,0,4945,0,N/A,360,0,Rural,0
LP001222,0,0,0,1,0,4166,0,116,360,0,Semiurban,0
LP001225,1,1,0,1,0,5726,4595,258,360,1,Semiurban,0
LP001228,1,0,0,0,0,3200,2254,126,180,0,Urban,0
LP001233,1,1,1,1,0,10750,0,312,360,1,Urban,1
LP001238,1,1,3,0,1,7100,0,125,60,1,Urban,1
LP001241,0,0,0,1,0,4300,0,136,360,0,Semiurban,0
LP001243,1,1,0,1,0,3208,3066,172,360,1,Urban,1
LP001245,1,1,2,0,1,1875,1875,97,360,1,Semiurban,1
LP001248,1,0,0,1,0,3500,0,81,300,1,Semiurban,1
LP001250,1,1,3,0,0,4755,0,95,N/A,0,Semiurban,0
LP001253,1,1,3,1,1,5266,1774,187,360,1,Semiurban,1
LP001255,1,0,0,1,0,3750,0,113,480,1,Urban,0
LP001256,1,0,0,1,0,3750,4750,176,360,1,Urban,0
LP001259,1,1,1,1,1,1000,3022,110,360,1,Urban,0
LP001263,1,1,3,1,0,3167,4000,180,300,0,Semiurban,0
LP001264,1,1,3,0,1,3333,2166,130,360,N/A,Semiurban,1
LP001265,0,0,0,1,0,3846,0,111,360,1,Semiurban,1
LP001266,1,1,1,1,1,2395,0,N/A,360,1,Semiurban,1
LP001267,0,1,2,1,0,1378,1881,167,360,1,Urban,0
LP001273,1,1,0,1,0,6000,2250,265,360,N/A,Semiurban,0
LP001275,1,1,1,1,0,3988,0,50,240,1,Urban,1
LP001279,1,0,0,1,0,2366,2531,136,360,1,Semiurban,1
LP001280,1,1,2,0,0,3333,2000,99,360,N/A,Semiurban,1
LP001282,1,1,0,1,0,2500,2118,104,360,1,Semiurban,1
LP001289,1,0,0,1,0,8566,0,210,360,1,Urban,1
LP001310,1,1,0,1,0,5695,4167,175,360,1,Semiurban,1
LP001316,1,1,0,1,0,2958,2900,131,360,1,Semiurban,1
LP001318,1,1,2,1,0,6250,5654,188,180,1,Semiurban,1
LP001319,1,1,2,0,0,3273,1820,81,360,1,Urban,1
LP001322,1,0,0,1,0,4133,0,122,360,1,Semiurban,1
LP001325,1,0,0,0,0,3620,0,25,120,1,Semiurban,1
LP001326,1,0,0,1,N/A,6782,0,N/A,360,N/A,Urban,0
LP001327,0,1,0,1,0,2484,2302,137,360,1,Semiurban,1
LP001333,1,1,0,1,0,1977,997,50,360,1,Semiurban,1
LP001334,1,1,0,0,0,4188,0,115,180,1,Semiurban,1
LP001343,1,1,0,1,0,1759,3541,131,360,1,Semiurban,1
LP001345,1,1,2,0,0,4288,3263,133,180,1,Urban,1
LP001349,1,0,0,1,0,4843,3806,151,360,1,Semiurban,1
LP001350,1,1,N/A,1,0,13650,0,N/A,360,1,Urban,1
LP001356,1,1,0,1,0,4652,3583,N/A,360,1,Semiurban,1
LP001357,1,N/A,N/A,1,0,3816,754,160,360,1,Urban,1
LP001367,1,1,1,1,0,3052,1030,100,360,1,Urban,1
LP001369,1,1,2,1,0,11417,1126,225,360,1,Urban,1
LP001370,1,0,0,0,N/A,7333,0,120,360,1,Rural,0
LP001379,1,1,2,1,0,3800,3600,216,360,0,Urban,0
LP001384,1,1,3,0,0,2071,754,94,480,1,Semiurban,1
LP001385,1,0,0,1,0,5316,0,136,360,1,Urban,1
LP001387,0,1,0,1,N/A,2929,2333,139,360,1,Semiurban,1
LP001391,1,1,0,0,0,3572,4114,152,N/A,0,Rural,0
LP001392,0,0,1,1,1,7451,0,N/A,360,1,Semiurban,1
LP001398,1,0,0,1,N/A,5050,0,118,360,1,Semiurban,1
LP001401,1,1,1,1,0,14583,0,185,180,1,Rural,1
LP001404,0,1,0,1,0,3167,2283,154,360,1,Semiurban,1
LP001405,1,1,1,1,0,2214,1398,85,360,N/A,Urban,1
LP001421,1,1,0,1,0,5568,2142,175,360,1,Rural,0
LP001422,0,0,0,1,0,10408,0,259,360,1,Urban,1
LP001426,1,1,N/A,1,0,5667,2667,180,360,1,Rural,1
LP001430,0,0,0,1,0,4166,0,44,360,1,Semiurban,1
LP001431,0,0,0,1,0,2137,8980,137,360,0,Semiurban,1
LP001432,1,1,2,1,0,2957,0,81,360,1,Semiurban,1
LP001439,1,1,0,0,0,4300,2014,194,360,1,Rural,1
LP001443,0,0,0,1,0,3692,0,93,360,N/A,Rural,1
LP001448,N/A,1,3,1,0,23803,0,370,360,1,Rural,1
LP001449,1,0,0,1,0,3865,1640,N/A,360,1,Rural,1
LP001451,1,1,1,1,1,10513,3850,160,180,0,Urban,0
LP001465,1,1,0,1,0,6080,2569,182,360,N/A,Rural,0
LP001469,1,0,0,1,1,20166,0,650,480,N/A,Urban,1
LP001473,1,0,0,1,0,2014,1929,74,360,1,Urban,1
LP001478,1,0,0,1,0,2718,0,70,360,1,Semiurban,1
LP001482,1,1,0,1,1,3459,0,25,120,1,Semiurban,1
LP001487,1,0,0,1,0,4895,0,102,360,1,Semiurban,1
LP001488,1,1,3,1,0,4000,7750,290,360,1,Semiurban,0
LP001489,0,1,0,1,0,4583,0,84,360,1,Rural,0
LP001491,1,1,2,1,1,3316,3500,88,360,1,Urban,1
LP001492,1,0,0,1,0,14999,0,242,360,0,Semiurban,0
LP001493,1,1,2,0,0,4200,1430,129,360,1,Rural,0
LP001497,1,1,2,1,0,5042,2083,185,360,1,Rural,0
LP001498,1,0,0,1,0,5417,0,168,360,1,Urban,1
LP001504,1,0,0,1,1,6950,0,175,180,1,Semiurban,1
LP001507,1,1,0,1,0,2698,2034,122,360,1,Semiurban,1
LP001508,1,1,2,1,0,11757,0,187,180,1,Urban,1
LP001514,0,1,0,1,0,2330,4486,100,360,1,Semiurban,1
LP001516,0,1,2,1,0,14866,0,70,360,1,Urban,1
LP001518,1,1,1,1,0,1538,1425,30,360,1,Urban,1
LP001519,0,0,0,1,0,10000,1666,225,360,1,Rural,0
LP001520,1,1,0,1,0,4860,830,125,360,1,Semiurban,1
LP001528,1,0,0,1,0,6277,0,118,360,0,Rural,0
LP001529,1,1,0,1,1,2577,3750,152,360,1,Rural,1
LP001531,1,0,0,1,0,9166,0,244,360,1,Urban,0
LP001532,1,1,2,0,0,2281,0,113,360,1,Rural,0
LP001535,1,0,0,1,0,3254,0,50,360,1,Urban,1
LP001536,1,1,3,1,0,39999,0,600,180,0,Semiurban,1
LP001541,1,1,1,1,0,6000,0,160,360,N/A,Rural,1
LP001543,1,1,1,1,0,9538,0,187,360,1,Urban,1
LP001546,1,0,0,1,N/A,2980,2083,120,360,1,Rural,1
LP001552,1,1,0,1,0,4583,5625,255,360,1,Semiurban,1
LP001560,1,1,0,0,0,1863,1041,98,360,1,Semiurban,1
LP001562,1,1,0,1,0,7933,0,275,360,1,Urban,0
LP001565,1,1,1,1,0,3089,1280,121,360,0,Semiurban,0
LP001570,1,1,2,1,0,4167,1447,158,360,1,Rural,1
LP001572,1,1,0,1,0,9323,0,75,180,1,Urban,1
LP001574,1,1,0,1,0,3707,3166,182,N/A,1,Rural,1
LP001577,0,1,0,1,0,4583,0,112,360,1,Rural,0
LP001578,1,1,0,1,0,2439,3333,129,360,1,Rural,1
LP001579,1,0,0,1,0,2237,0,63,480,0,Semiurban,0
LP001580,1,1,2,1,0,8000,0,200,360,1,Semiurban,1
LP001581,1,1,0,0,N/A,1820,1769,95,360,1,Rural,1
LP001585,N/A,1,3,1,0,51763,0,700,300,1,Urban,1
LP001586,1,1,3,0,0,3522,0,81,180,1,Rural,0
LP001594,1,1,0,1,0,5708,5625,187,360,1,Semiurban,1
LP001603,1,1,0,0,1,4344,736,87,360,1,Semiurban,0
LP001606,1,1,0,1,0,3497,1964,116,360,1,Rural,1
LP001608,1,1,2,1,0,2045,1619,101,360,1,Rural,1
LP001610,1,1,3,1,0,5516,11300,495,360,0,Semiurban,0
LP001616,1,1,1,1,0,3750,0,116,360,1,Semiurban,1
LP001630,1,0,0,0,0,2333,1451,102,480,0,Urban,0
LP001633,1,1,1,1,0,6400,7250,180,360,0,Urban,0
LP001634,1,0,0,1,0,1916,5063,67,360,N/A,Rural,0
LP001636,1,1,0,1,0,4600,0,73,180,1,Semiurban,1
LP001637,1,1,1,1,0,33846,0,260,360,1,Semiurban,0
LP001639,0,1,0,1,0,3625,0,108,360,1,Semiurban,1
LP001640,1,1,0,1,1,39147,4750,120,360,1,Semiurban,1
LP001641,1,1,1,1,1,2178,0,66,300,0,Rural,0
LP001643,1,1,0,1,0,2383,2138,58,360,N/A,Rural,1
LP001644,N/A,1,0,1,1,674,5296,168,360,1,Rural,1
LP001647,1,1,0,1,0,9328,0,188,180,1,Rural,1
LP001653,1,0,0,0,0,4885,0,48,360,1,Rural,1
LP001656,1,0,0,1,0,12000,0,164,360,1,Semiurban,0
LP001657,1,1,0,0,0,6033,0,160,360,1,Urban,0
LP001658,1,0,0,1,0,3858,0,76,360,1,Semiurban,1
LP001664,1,0,0,1,0,4191,0,120,360,1,Rural,1
LP001665,1,1,1,1,0,3125,2583,170,360,1,Semiurban,0
LP001666,1,0,0,1,0,8333,3750,187,360,1,Rural,1
LP001669,0,0,0,0,0,1907,2365,120,N/A,1,Urban,1
LP001671,0,1,0,1,0,3416,2816,113,360,N/A,Semiurban,1
LP001673,1,0,0,1,1,11000,0,83,360,1,Urban,0
LP001674,1,1,1,0,0,2600,2500,90,360,1,Semiurban,1
LP001677,1,0,2,1,0,4923,0,166,360,0,Semiurban,1
LP001682,1,1,3,0,0,3992,0,N/A,180,1,Urban,0
LP001688,1,1,1,0,0,3500,1083,135,360,1,Urban,1
LP001691,1,1,2,0,0,3917,0,124,360,1,Semiurban,1
LP001692,0,0,0,0,0,4408,0,120,360,1,Semiurban,1
LP001693,0,0,0,1,0,3244,0,80,360,1,Urban,1
LP001698,1,0,0,0,0,3975,2531,55,360,1,Rural,1
LP001699,1,0,0,1,0,2479,0,59,360,1,Urban,1
LP001702,1,0,0,1,0,3418,0,127,360,1,Semiurban,0
LP001708,0,0,0,1,0,10000,0,214,360,1,Semiurban,0
LP001711,1,1,3,1,0,3430,1250,128,360,0,Semiurban,0
LP001713,1,1,1,1,1,7787,0,240,360,1,Urban,1
LP001715,1,1,3,0,1,5703,0,130,360,1,Rural,1
LP001716,1,1,0,1,0,3173,3021,137,360,1,Urban,1
LP001720,1,1,3,0,0,3850,983,100,360,1,Semiurban,1
LP001722,1,1,0,1,0,150,1800,135,360,1,Rural,0
LP001726,1,1,0,1,0,3727,1775,131,360,1,Semiurban,1
LP001732,1,1,2,1,N/A,5000,0,72,360,0,Semiurban,0
LP001734,0,1,2,1,0,4283,2383,127,360,N/A,Semiurban,1
LP001736,1,1,0,1,0,2221,0,60,360,0,Urban,0
LP001743,1,1,2,1,0,4009,1717,116,360,1,Semiurban,1
LP001744,1,0,0,1,0,2971,2791,144,360,1,Semiurban,1
LP001749,1,1,0,1,0,7578,1010,175,N/A,1,Semiurban,1
LP001750,1,1,0,1,0,6250,0,128,360,1,Semiurban,1
LP001751,1,1,0,1,0,3250,0,170,360,1,Rural,0
LP001754,1,1,N/A,0,1,4735,0,138,360,1,Urban,0
LP001758,1,1,2,1,0,6250,1695,210,360,1,Semiurban,1
LP001760,1,N/A,N/A,1,0,4758,0,158,480,1,Semiurban,1
LP001761,1,0,0,1,1,6400,0,200,360,1,Rural,1
LP001765,1,1,1,1,0,2491,2054,104,360,1,Semiurban,1
LP001768,1,1,0,1,N/A,3716,0,42,180,1,Rural,1
LP001770,1,0,0,0,0,3189,2598,120,N/A,1,Rural,1
LP001776,0,0,0,1,0,8333,0,280,360,1,Semiurban,1
LP001778,1,1,1,1,0,3155,1779,140,360,1,Semiurban,1
LP001784,1,1,1,1,0,5500,1260,170,360,1,Rural,1
LP001786,1,1,0,1,N/A,5746,0,255,360,N/A,Urban,0
LP001788,0,0,0,1,1,3463,0,122,360,N/A,Urban,1
LP001790,0,0,1,1,0,3812,0,112,360,1,Rural,1
LP001792,1,1,1,1,0,3315,0,96,360,1,Semiurban,1
LP001798,1,1,2,1,0,5819,5000,120,360,1,Rural,1
LP001800,1,1,1,0,0,2510,1983,140,180,1,Urban,0
LP001806,1,0,0,1,0,2965,5701,155,60,1,Urban,1
LP001807,1,1,2,1,1,6250,1300,108,360,1,Rural,1
LP001811,1,1,0,0,0,3406,4417,123,360,1,Semiurban,1
LP001813,1,0,0,1,1,6050,4333,120,180,1,Urban,0
LP001814,1,1,2,1,0,9703,0,112,360,1,Urban,1
LP001819,1,1,1,0,0,6608,0,137,180,1,Urban,1
LP001824,1,1,1,1,0,2882,1843,123,480,1,Semiurban,1
LP001825,1,1,0,1,0,1809,1868,90,360,1,Urban,1
LP001835,1,1,0,0,0,1668,3890,201,360,0,Semiurban,0
LP001836,0,0,2,1,0,3427,0,138,360,1,Urban,0
LP001841,1,0,0,0,1,2583,2167,104,360,1,Rural,1
LP001843,1,1,1,0,0,2661,7101,279,180,1,Semiurban,1
LP001844,1,0,0,1,1,16250,0,192,360,0,Urban,0
LP001846,0,0,3,1,0,3083,0,255,360,1,Rural,1
LP001849,1,0,0,0,0,6045,0,115,360,0,Rural,0
LP001854,1,1,3,1,0,5250,0,94,360,1,Urban,0
LP001859,1,1,0,1,0,14683,2100,304,360,1,Rural,0
LP001864,1,1,3,0,0,4931,0,128,360,N/A,Semiurban,0
LP001865,1,1,1,1,0,6083,4250,330,360,N/A,Urban,1
LP001868,1,0,0,1,0,2060,2209,134,360,1,Semiurban,1
LP001870,0,0,1,1,0,3481,0,155,36,1,Semiurban,0
LP001871,0,0,0,1,0,7200,0,120,360,1,Rural,1
LP001872,1,0,0,1,1,5166,0,128,360,1,Semiurban,1
LP001875,1,0,0,1,0,4095,3447,151,360,1,Rural,1
LP001877,1,1,2,1,0,4708,1387,150,360,1,Semiurban,1
LP001882,1,1,3,1,0,4333,1811,160,360,0,Urban,1
LP001883,0,0,0,1,N/A,3418,0,135,360,1,Rural,0
LP001884,0,0,1,1,0,2876,1560,90,360,1,Urban,1
LP001888,0,0,0,1,0,3237,0,30,360,1,Urban,1
LP001891,1,1,0,1,0,11146,0,136,360,1,Urban,1
LP001892,1,0,0,1,0,2833,1857,126,360,1,Rural,1
LP001894,1,1,0,1,0,2620,2223,150,360,1,Semiurban,1
LP001896,1,1,2,1,0,3900,0,90,360,1,Semiurban,1
LP001900,1,1,1,1,0,2750,1842,115,360,1,Semiurban,1
LP001903,1,1,0,1,0,3993,3274,207,360,1,Semiurban,1
LP001904,1,1,0,1,0,3103,1300,80,360,1,Urban,1
LP001907,1,1,0,1,0,14583,0,436,360,1,Semiurban,1
LP001908,0,1,0,0,0,4100,0,124,360,N/A,Rural,1
LP001910,1,0,1,0,1,4053,2426,158,360,0,Urban,0
LP001914,1,1,0,1,0,3927,800,112,360,1,Semiurban,1
LP001915,1,1,2,1,0,2301,985.7999878,78,180,1,Urban,1
LP001917,0,0,0,1,0,1811,1666,54,360,1,Urban,1
LP001922,1,1,0,1,0,20667,0,N/A,360,1,Rural,0
LP001924,1,0,0,1,0,3158,3053,89,360,1,Rural,1
LP001925,0,0,0,1,1,2600,1717,99,300,1,Semiurban,0
LP001926,1,1,0,1,0,3704,2000,120,360,1,Rural,1
LP001931,0,0,0,1,0,4124,0,115,360,1,Semiurban,1
LP001935,1,0,0,1,0,9508,0,187,360,1,Rural,1
LP001936,1,1,0,1,0,3075,2416,139,360,1,Rural,1
LP001938,1,1,2,1,0,4400,0,127,360,0,Semiurban,0
LP001940,1,1,2,1,0,3153,1560,134,360,1,Urban,1
LP001945,0,0,N/A,1,0,5417,0,143,480,0,Urban,0
LP001947,1,1,0,1,0,2383,3334,172,360,1,Semiurban,1
LP001949,1,1,3,1,N/A,4416,1250,110,360,1,Urban,1
LP001953,1,1,1,1,0,6875,0,200,360,1,Semiurban,1
LP001954,0,1,1,1,0,4666,0,135,360,1,Urban,1
LP001955,0,0,0,1,0,5000,2541,151,480,1,Rural,0
LP001963,1,1,1,1,0,2014,2925,113,360,1,Urban,0
LP001964,1,1,0,0,0,1800,2934,93,360,0,Urban,0
LP001972,1,1,N/A,0,0,2875,1750,105,360,1,Semiurban,1
LP001974,0,0,0,1,0,5000,0,132,360,1,Rural,1
LP001977,1,1,1,1,0,1625,1803,96,360,1,Urban,1
LP001978,1,0,0,1,0,4000,2500,140,360,1,Rural,1
